"scientificName","minBodyLengthMM","maxBodyLengthMM","meanBodyLengthMM","wingType","identificationReferences","sizeRef","wingRef","diapause","taxonRank","kingdom","phylum","class","order","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet"
"Bembidion mimus",2.3,3.5,,,"Lindroth 1969","Lindroth 1969",,"hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Furcacampa","mimus",""
"Acupalpus nanellus",2.5,3,,"dimorphic; some subapterous and some with flight","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Acupalpus","Acupalpus","nanellus",""
"Acupalpus testaceus",2.5,3,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Acupalpus","Tachistodes","testaceus",""
"Acupalpus canadensis",2.6,3,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Acupalpus","Acupalpus","canadensis",""
"Bembidion muscicola",2.6,3.2,,"wings either full or reduced into a tiny scale","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Semicampa","muscicola",""
"Bembidion mutatum",2.7,3.5,,"variable; usually full, sometimes reduced","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Bembidion","mutatum",""
"Bembidion pedicellatum",2.7,3.4,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Bembidion","pedicellatum",""
"Bembidion praticola",2.8,3.5,,"brachypterous","Bousquet and Webster 2006","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Semicampa","praticola",""
"Bembidion quadrimaculatum oppositum",2.8,3.7,,,"Lindroth 1969","Lindroth 1969",,,"subspecies","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Bembidion","quadrimaculatum","oppositum"
"Bradycellus tantillus",2.8,3.1,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Bradycellus","Stenocellus","tantillus",""
"Bembidion affine",2.9,3.5,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Furcacampa","affine",""
"Bembidion fortestriatum",2.9,3.6,,"taken at a light trap","Lindroth 1969","Lindroth 1969","Lindroth 1969","hibernate as adult","species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Trepanedoris","fortestriatum",""
"Bembidion praecinctum",2.9,3.3,,"variable; canadian forms macropterous, american forms reduced wings","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Bembidion","praecinctum",""
"Acupalpus indistinctus",3,3.8,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Acupalpus","Tachistodes","indistinctus",""
"Acupalpus partiarius",3,4,,,"Lindroth 1969","Lindroth 1969",,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Acupalpus","Tachistodes","partiarius",""
"Axinopalpus biplagiatus",3,3.5,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Lebiini",,"Axinopalpus","","biplagiatus",""
"Bradycellus nigriceps",3,3.8,,"macropterous","Lindroth 1969","Lindroth 1969","Lindroth 1969",,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini",,"Bradycellus","Stenocellus","nigriceps",""
"Bembidion pseudocautum",3.2,3.7,,,"Lindroth 1969",,,,"species","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini",,"Bembidion","Trepanedoris","pseudocautum",""
